month,<56,56-66,67-76,77+
1,13,5,4,0
2,8,2,1,0
3,3,3,1,0
4,13,2,2,0
5,11,4,4,0
6,26,7,4,0
7,46,10,2,1
8,48,11,1,1
9,69,17,6,3
10,67,13,7,0
11,63,18,7,0
12,67,17,8,1
13,87,15,9,2
14,89,17,4,2
15,67,28,7,1
16,86,24,6,1
17,79,24,2,1
18,76,28,6,4
19,75,18,9,0
20,86,14,3,0
21,62,20,6,1
22,59,17,5,3
23,56,9,7,0
24,61,11,2,1
25,61,12,5,0
26,45,12,5,2
27,43,20,4,2
28,35,18,2,0
29,40,10,2,1
30,41,6,3,0
31,40,10,3,2
32,50,5,2,0
33,42,11,4,2
34,43,7,2,0
35,34,7,3,0
36,27,5,5,1
37,40,11,1,1
38,26,8,3,1
39,44,9,3,0
40,25,8,1,1
41,23,11,1,0
42,25,7,5,1
43,25,11,1,1
44,24,9,2,3
45,14,4,4,1
46,29,3,1,0
47,24,5,1,0
48,18,6,3,1
49,19,10,0,0
50,15,5,2,0
51,18,5,2,0
52,17,10,1,0
53,26,4,3,0
54,16,7,1,0
55,13,11,1,0
56,23,6,0,0
57,17,2,3,0
58,18,4,1,0
59,14,3,1,1
60,12,7,1,3
61,14,5,2,0
62,16,5,6,0
63,19,2,0,2
64,11,3,2,0
65,14,2,0,1
66,10,8,0,0
67,5,1,1,0
68,12,7,0,0
69,7,5,4,0
70,12,0,1,0
71,14,5,2,0
72,11,4,0,0
73,11,3,0,0
74,7,3,3,0
75,12,3,1,1
76,10,3,4,0
77,9,4,0,0
78,5,1,2,0
79,8,2,1,0
80,11,3,2,1
81,8,1,2,0
82,7,4,1,0
83,5,5,1,0
84,11,1,3,0
85,11,1,0,0
86,13,1,1,0
87,16,2,1,0
88,6,1,1,0
89,8,4,1,0
90,13,7,3,0
91,6,3,1,1
92,10,2,2,0
93,5,3,5,0
94,8,3,0,0
95,13,2,0,0
96,7,0,1,0
97,8,4,0,1
98,8,3,0,0
99,8,2,1,0
100,7,1,0,1
101,6,6,0,0
102,6,0,1,0
103,3,3,1,0
104,6,2,1,0
105,9,3,0,0
106,10,0,0,0
107,4,2,3,0
108,4,1,1,0
109,3,2,2,0
110,10,2,3,0
111,7,1,0,0
112,5,2,0,0
113,6,1,0,0
114,7,1,1,0
115,4,2,0,0
116,4,1,1,0
117,2,2,0,0
118,1,0,0,0
119,2,0,0,0
120,1,1,0,0
121,3,1,0,0
122,3,2,0,0
123,6,2,0,0
124,3,0,1,0
125,2,3,0,0
126,5,1,0,0
127,2,2,1,0
128,1,2,0,0
129,5,4,1,0
130,1,0,1,0
131,3,1,0,0
132,4,1,3,0
133,6,0,1,0
134,1,1,0,0
135,2,0,0,0
136,2,0,1,0
137,2,1,0,0
138,2,1,0,0
139,5,1,1,0
140,1,1,0,0
141,5,1,1,0
142,4,0,0,0
143,6,1,1,0
144,4,1,0,0
145,3,1,1,0
146,4,2,0,0
147,2,1,1,0
148,1,1,1,0
149,2,1,0,0
150,3,0,0,0
151,3,0,0,0
152,1,1,0,0
153,3,0,0,0
154,2,1,0,0
155,2,1,0,0
156,4,1,0,0
157,2,0,0,0
158,0,0,0,0
159,1,1,1,0
160,0,0,0,0
161,3,0,0,0
162,2,0,0,0
163,3,0,0,0
164,0,0,0,0
165,2,2,0,0
166,1,0,0,0
167,1,0,0,0
168,2,2,0,0
169,2,0,0,0
170,0,0,0,0
171,2,0,0,0
172,2,0,0,0
173,0,0,0,0
174,0,0,0,0
175,0,1,0,0
176,0,0,0,0
177,2,0,0,0
178,1,0,0,0
179,3,0,0,0
180,2,1,0,0
181,0,0,0,0
182,1,0,0,0
183,0,0,0,0
184,1,1,0,0
185,2,0,0,0
186,0,0,0,0
187,1,0,0,0
188,0,0,0,0
189,1,0,0,0
190,3,0,0,0
191,0,0,0,0
192,0,0,0,0
193,0,1,0,0
194,2,0,0,0
195,0,0,0,0
196,1,0,0,0
197,1,0,0,0
198,1,0,0,0
199,0,0,0,0
200,1,0,0,0
201,0,1,0,0
202,1,0,0,0
203,0,0,0,0
204,1,0,0,0
205,0,1,0,0
206,1,0,0,0
207,0,0,0,0
208,0,0,0,0
209,0,0,0,0
210,1,0,0,0
211,0,0,0,0
212,0,0,0,0
213,1,0,0,0
214,0,0,0,0
215,3,0,0,0
216,0,0,0,0
217,0,0,0,0
218,1,0,0,0
219,1,0,0,0
220,1,0,0,0
221,0,0,0,0
222,0,0,0,0
223,1,1,0,0
224,1,0,0,0
225,0,0,0,0
226,0,0,0,0
227,0,0,0,0
228,1,0,0,0
229,0,0,0,0
230,0,0,0,0
231,1,0,0,0
232,0,0,0,0
233,1,0,0,0
234,1,0,0,0
235,1,0,0,0
236,0,0,0,0
237,0,0,0,0
238,1,0,0,0
239,0,0,0,0
240,1,0,0,0
241,0,0,0,0
242,1,0,0,0
243,1,0,0,0
244,0,0,0,0
245,1,0,0,0
246,0,0,0,0
247,0,0,0,0
248,0,0,0,0
249,0,0,0,0
250,0,0,0,0
251,0,0,0,0
252,0,0,0,0
253,0,0,0,0
254,0,0,0,0
255,2,0,0,0
256,0,0,0,0
257,0,0,0,0
258,0,0,0,0
259,0,0,0,0
260,0,0,0,0
261,0,0,0,0
262,0,0,0,0
263,0,0,0,0
264,1,0,0,0
265,0,0,0,0
266,0,0,0,0
267,0,0,0,0
268,0,0,0,0
269,0,0,0,0
270,0,0,0,0
271,1,0,0,0
272,0,0,0,0
273,0,0,0,0
274,0,0,0,0
275,0,0,0,0
276,0,0,0,0
277,1,0,0,0
278,0,0,0,0
279,0,0,0,0
280,0,0,0,0
281,0,0,0,0
282,0,0,0,0
283,0,0,0,0
284,0,0,0,0
285,1,0,0,0
286,0,0,0,0
287,0,0,0,0
288,0,0,0,0
289,0,0,0,0
290,0,0,0,0
291,0,0,0,0
292,0,0,0,0
293,0,0,0,0
294,0,0,0,0
295,0,1,0,0
296,0,0,0,0
297,0,0,0,0
298,0,0,0,0
299,0,0,0,0
300,0,0,0,0
301,0,0,0,0
302,0,0,0,0
303,0,0,0,0
304,0,0,0,0
305,0,0,0,0
306,0,0,0,0
307,0,0,0,0
308,0,0,0,0
309,0,0,0,0
310,0,0,0,0
311,0,0,0,0
312,0,0,0,0
313,0,0,0,0
314,0,0,0,0
315,0,0,0,0
316,0,0,0,0
317,0,0,0,0
318,0,0,0,0
319,0,0,0,0
320,0,0,0,0
321,0,0,0,0
322,0,0,0,0
323,0,0,0,0
324,0,0,0,0
325,0,0,0,0
326,0,0,0,0
327,0,0,0,0
328,0,0,0,0
329,0,0,0,0
330,0,0,0,0
331,0,0,0,0
332,0,0,0,0
333,0,0,0,0
334,0,0,0,0
335,0,0,0,0
336,0,0,0,0
337,1,0,0,0
