month,<56,56-66,67-76,77+
1,295,69,17,4
2,97,24,5,0
3,88,22,4,0
4,70,23,3,0
5,55,16,0,0
6,48,8,5,0
7,45,10,2,1
8,33,9,1,0
9,35,7,3,0
10,35,9,2,0
11,26,2,2,0
12,24,10,3,0
13,25,8,3,0
14,24,11,0,0
15,15,1,1,0
16,20,4,0,0
17,21,4,2,0
18,6,1,1,0
19,18,3,0,1
20,13,2,1,0
21,12,1,0,0
22,11,1,1,0
23,15,8,2,0
24,9,5,0,1
25,8,2,0,0
26,7,4,1,0
27,10,2,0,0
28,6,0,2,0
29,5,0,1,0
30,5,2,0,0
31,2,2,0,0
32,7,1,2,0
33,1,4,0,0
34,3,0,0,0
35,2,1,0,0
36,4,0,0,0
37,3,2,0,0
38,4,1,0,0
39,1,3,1,0
40,2,0,0,0
41,1,0,0,0
42,2,1,0,0
43,5,0,0,0
44,2,1,0,0
45,2,0,0,0
46,2,2,0,0
47,2,2,0,0
48,5,1,0,0
49,3,0,0,0
50,1,0,0,0
51,0,1,0,0
52,0,0,0,0
53,1,0,0,0
54,2,1,0,0
55,1,0,0,0
56,1,1,0,0
57,0,1,0,0
58,1,0,0,0
59,1,1,0,0
60,1,0,0,0
61,2,0,1,0
62,1,0,0,0
63,1,0,0,0
64,0,1,0,0
65,0,0,0,0
66,1,0,0,0
67,1,0,0,0
68,2,0,0,0
69,0,0,0,0
70,2,0,0,0
71,0,0,0,0
72,1,0,0,0
73,1,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,4,0,0,0
78,0,0,0,0
79,1,0,0,0
80,0,1,0,0
81,0,0,0,0
82,0,0,0,0
83,1,0,0,0
84,0,0,0,0
85,0,1,0,0
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,1,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,0,0,1,0
95,0,0,0,0
96,0,0,0,0
97,0,0,0,0
98,1,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,1,0,0,0
119,0,0,0,0
120,1,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
126,0,0,0,0
127,1,0,0,0
128,0,0,0,0
129,0,0,0,0
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,1,0,0,0
